date,address,store_number,store_name,invoice_and_item_number,zip_code,bottles_sold,item_description
"2019-11-27 00:00:00","1300 West Burlington Ave",2601,"Hy-Vee Food Store / Fairfield",INV-23548800092,52556.0,6,"Juarez Triple Sec"
"2019-12-02 00:00:00","1312 Harrison St",4962,"Hilltop Grocery",INV-23609300026,52803.0,3,"Everclear Alcohol"
"2016-01-26 00:00:00","757 W BROADWAY",2641,"Hy-Vee Drugstore / Council Bluffs",S30390600011,51501,2,"99 Peppermint Mini"
"2016-01-25 00:00:00","807 GRANDVIEW",3162,"Nash Finch / Wholesale Food",S30348700047,52761,4,"Dekuyper Peachtree"
"2016-02-01 00:00:00","3221 SE 14TH ST",2633,"Hy-Vee #3 / BDI / Des Moines",S30466200002,50320,120,"Di Amore Quattro Orange"
"2018-12-20 00:00:00","802 South Center",2544,"Hy-Vee Food Store / Marshalltown",INV-16481100198,50158,6,"Kamora Coffee Liqueur"
"2016-06-30 00:00:00","2181 Logan Ave",2571,"Hy-Vee Food Store #2 / Waterloo",S33151100001,50703,180,"Pinnacle Peach w/ Punch Dispenser"
"2019-12-10 00:00:00","1004 Main St.",5446,"Pump N Pak",INV-23807400003,51247.0,6,"Dekuyper Triple Sec"
"2016-02-02 00:00:00","115 SOUTH 29TH ST",2562,"Hy-Vee Food Store / Fort Dodge",S30506300012,50501,108,"Titos Vodka"
"2016-02-09 00:00:00","633, CHASE ST",4559,"Osage Payless Foods",S30600400007,50461,30,"Five O'clock Vodka"
"2016-07-19 00:00:00","1250 N Lake St",2576,"Hy-Vee Wine and Spirits / Storm Lake",S33457600258,50588,4,"Phillips Root Beer Schnapps"
"2019-03-20 00:00:00","412  1st Ave",3869,"Bootleggin' Barzini's Fin",INV-18262300112,52241,1,"Bacardi Gold"
"2019-12-18 00:00:00","2411 S 24TH ST #1",4312,"I-80 Liquor / Council Bluffs",INV-24014800058,51501.0,48,"Juarez Triple Sec"
"2016-02-11 00:00:00","1501 MICHIGAN AVE",4829,"Central City 2",S30700500137,50314,60,"Hennessy Vs Cognac"
"2016-02-22 00:00:00","130, S ROOSEVELT AVE",4898,"Burlington Shell",S30849100007,52601,24,"Hennessy VS"
"2016-02-29 00:00:00","215 S EVANS RD",4153,"Fareway Stores #067 / Evansdale",S30972000014,50707,60,Jameson
"2017-11-09 00:00:00","709 Monterey Dr",4158,"Fareway Stores #409 / Carroll",INV-08576400023,51401,4,"Paramount Sloe Gin"
"2016-06-30 00:00:00","724 1st  St  SE",5102,"Wilkie Liquors",S33157700058,52314,660,"Juarez Gold Dss"
"2019-12-05 00:00:00","3221 SE 14th St",2633,"Hy-Vee #3 / BDI / Des Moines",INV-23689100001,50320.0,66,"Glen Oaks Whiskey Buy the Barrel"
"2019-05-02 00:00:00","5050 Edgewood Rd",2647,"Hy-Vee #7 / Cedar Rapids",INV-19122600110,52411,36,"Everclear Alcohol"
"2018-05-16 00:00:00","2604 W Locust St",5003,"Famous Liquors",INV-12116400006,52804,2,"Martell VSSD"
"2016-02-24 00:00:00","4201 S. YORK ST.",3447,"Sam's Club 6432 / Sioux City",S30824400027,51106,144,"Juarez Triple Sec"
